BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200902,12,800,200902,12,1200,26434,154629,CONNECTICUT,9,2009,February,High Wind,Z,5,NORTHERN FAIRFIELD,OKX,12-FEB-09 08:00:00,EST-5,12-FEB-09 12:00:00,0,0,0,0,,0.00K,Newspaper,50.00,EG,,,,,,,,,,,,,,,,,,,,"An intense area of low pressure over the Eastern Great Lakes on the morning of February 12, tracked northeast and up into the Canadian Maritimes by evening. High winds developed near daybreak, right behind the cold front, and continued through the day. The strongest winds occurred during the morning and appeared to be associated with sharp pressure rises right behind the cold front. There were numerous trees and power lines down from the event, with several thousand power outages across southern Connecticut.||The following are some peak wind gusts across southern Connecticut: Fairfield County, New Canaan 51 mph; New Haven County, Hamden and Oxford at 54 mph; Middlesex County, 48 mph at Durham; and New London County, 51 mph at Groton.","Connecticut Light and Power reported several thousand power outages with the city of Danbury hit the hardest, with over 2000 customers without power in the morning. Downed power lines and trees across the area resulted in numerous road closures across the area.",CSV
200902,12,800,200902,12,1200,26434,154630,CONNECTICUT,9,2009,February,High Wind,Z,9,SOUTHERN FAIRFIELD,OKX,12-FEB-09 08:00:00,EST-5,12-FEB-09 12:00:00,0,0,0,0,,0.00K,Newspaper,50.00,EG,,,,,,,,,,,,,,,,,,,,"An intense area of low pressure over the Eastern Great Lakes on the morning of February 12, tracked northeast and up into the Canadian Maritimes by evening. High winds developed near daybreak, right behind the cold front, and continued through the day. The strongest winds occurred during the morning and appeared to be associated with sharp pressure rises right behind the cold front. There were numerous trees and power lines down from the event, with several thousand power outages across southern Connecticut.||The following are some peak wind gusts across southern Connecticut: Fairfield County, New Canaan 51 mph; New Haven County, Hamden and Oxford at 54 mph; Middlesex County, 48 mph at Durham; and New London County, 51 mph at Groton.","Numerous trees and power lines reported down across the county, resulting in power outages and road closures.",CSV
200902,12,800,200902,12,1200,26434,154631,CONNECTICUT,9,2009,February,High Wind,Z,10,SOUTHERN NEW HAVEN,OKX,12-FEB-09 08:00:00,EST-5,12-FEB-09 12:00:00,0,0,0,0,,0.00K,Newspaper,50.00,EG,,,,,,,,,,,,,,,,,,,,"An intense area of low pressure over the Eastern Great Lakes on the morning of February 12, tracked northeast and up into the Canadian Maritimes by evening. High winds developed near daybreak, right behind the cold front, and continued through the day. The strongest winds occurred during the morning and appeared to be associated with sharp pressure rises right behind the cold front. There were numerous trees and power lines down from the event, with several thousand power outages across southern Connecticut.||The following are some peak wind gusts across southern Connecticut: Fairfield County, New Canaan 51 mph; New Haven County, Hamden and Oxford at 54 mph; Middlesex County, 48 mph at Durham; and New London County, 51 mph at Groton.","Numerous trees and power lines reported down across the county, resulting in power outages and road closures.",CSV
200902,18,1300,200902,19,800,26239,153615,CONNECTICUT,9,2009,February,Winter Weather,Z,1,NORTHERN LITCHFIELD,ALY,18-FEB-09 13:00:00,EST-5,19-FEB-09 08:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A strengthening low pressure system tracked northeast from the mid Mississippi Valley Wednesday February 18th, into the lower Saint Lawrence Valley by Thursday morning February 19th. An occluded front associated with this low pressure system swept northeast across western New England early Thursday morning, preceded and accompanied by moderate wet snow, along with some rain in the lower elevations. ||Snowfall amounts ranged from 3 to 6 inches across the higher elevations within northern Litchfield County, with generally 1 to 3 inches across lower elevations.||The snow began late Wednesday afternoon, and tapered off early Thursday morning.",,CSV
200901,16,300,200901,16,1130,25954,151544,CONNECTICUT,9,2009,January,Cold/Wind Chill,Z,1,NORTHERN LITCHFIELD,ALY,16-JAN-09 03:00:00,EST-5,16-JAN-09 11:30:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A bitterly cold air mass spread across much of east central New York and adjacent western New England during Friday January 16th. ||Widespread subzero temperatures occurred across northwest Connecticut Friday morning, with temperatures as low as -13 F recorded at Colebrook Lake, and -8 F recorded in Litchfield.||In addition, some wind added to the extreme cold, with wind chills of |-15 to -24 F.",,CSV
200901,18,400,200901,18,2200,25917,151359,CONNECTICUT,9,2009,January,Winter Weather,Z,1,NORTHERN LITCHFIELD,ALY,18-JAN-09 04:00:00,EST-5,18-JAN-09 22:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A low pressure system tracked east from the eastern Great Lakes Sunday morning January 18th, across northern New England Sunday afternoon and evening, to a position off the northern New England coast by Monday morning January 19th. ||An area of light to moderate snowfall accompanied the passage of this system across much of east central New York and adjacent western New England from Sunday morning, into early Monday morning. ||Snowfall amounts generally ranged from 3 to 6 inches. ||The steadiest snowfall occurred during Sunday morning, before tapering to snow showers and flurries Sunday afternoon and evening. The snow then ended by Monday morning.",,CSV
200901,28,1634,200901,28,1812,25705,150110,CONNECTICUT,9,2009,January,Winter Weather,Z,2,HARTFORD,BOX,28-JAN-09 16:34:00,EST-5,28-JAN-09 18:12:00,0,0,0,0,20.00K,0.00K,Amateur Radio,,,,,,,,,,,,,,,,,,,,,,A strong low pressure system moved through southern New England from the southwest spreading snow across the area. This was followed by strong warm advection resulting in a precipitation change to freezing rain.,"An eighth of an inch of ice accumulated on power lines and wires in the Hartford area, downing these lines.",CSV
200901,7,925,200901,7,2000,25708,150117,CONNECTICUT,9,2009,January,Winter Weather,Z,3,TOLLAND,BOX,07-JAN-09 09:25:00,EST-5,07-JAN-09 20:00:00,0,0,0,0,5.00K,0.00K,Amateur Radio,,,,,,,,,,,,,,,,,,,,,,"A low pressure system moved across the Ohio Valley and into southern New England. This low developed a secondary low off the coast of New Jersey. These two low pressure systems resulted in precipitation overspreading the area while warm air moved in aloft. This made precipitation type a challenge with snow, freezing rain, and sleet occurring across southern New England.",Wires in Vernon were downed by one quarter to one third of an inch of ice accumulation.,CSV
200905,24,1538,200905,24,1538,30020,175787,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,9,NEW HAVEN,OKX,24-MAY-09 15:38:00,EST-5,24-MAY-09 15:38:00,0,0,0,0,4.00K,0.00K,Law Enforcement,52.00,EG,,,,,,,,,,.69,S,WHITE OAKS,.69,S,WHITE OAKS,41.49,-73.22,41.49,-73.22,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",A tree fell on a house at 115 River Trail Road.,CSV
200905,24,1706,200905,24,1706,30020,175790,CONNECTICUT,9,2009,May,Hail,C,9,NEW HAVEN,OKX,24-MAY-09 17:06:00,EST-5,24-MAY-09 17:06:00,0,0,0,0,,,Law Enforcement,0.88,,,,,,,,,,,.69,N,ORANGE,.69,N,ORANGE,41.28,-73.03,41.28,-73.03,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",Nickel size hail was reported by law enforcement between Route 121 and Butternut Court.,CSV
200905,24,1706,200905,24,1706,30020,175791,CONNECTICUT,9,2009,May,Hail,C,1,FAIRFIELD,OKX,24-MAY-09 17:06:00,EST-5,24-MAY-09 17:06:00,0,0,0,0,,,Trained Spotter,0.88,,,,,,,,,,,0,N,SHELTON,0,N,SHELTON,41.32,-73.1,41.32,-73.1,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",Nickel size hail was reported by a trained spotter.,CSV
200905,24,1547,200905,24,1547,30020,175792,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,9,NEW HAVEN,OKX,24-MAY-09 15:47:00,EST-5,24-MAY-09 15:47:00,0,0,0,0,0.50K,0.00K,Public,52.00,EG,,,,,,,,,,.69,S,WHITE OAKS,.69,S,WHITE OAKS,41.49,-73.22,41.49,-73.22,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",Multiple arm size tree branches were downed on Main Street.,CSV
200905,24,1611,200905,24,1611,30020,175794,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,9,NEW HAVEN,OKX,24-MAY-09 16:11:00,EST-5,24-MAY-09 16:11:00,0,0,0,0,1.00K,0.00K,Law Enforcement,52.00,EG,,,,,,,,,,.86,SE,OXFORD,.86,SE,OXFORD,41.42,-73.11,41.42,-73.11,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",A tree was downed on Jacksons Cove Road.,CSV
200905,24,1636,200905,24,1636,30020,175795,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,1,FAIRFIELD,OKX,24-MAY-09 16:36:00,EST-5,24-MAY-09 16:36:00,0,0,0,0,1.00K,0.00K,Fire Department/Rescue,52.00,EG,,,,,,,,,,.69,S,NEWTOWN,.69,S,NEWTOWN,41.41,-73.32,41.41,-73.32,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",Trees fell on wires on Sugar Hill Road.,CSV
200905,24,1538,200905,24,1538,30020,175802,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,9,NEW HAVEN,OKX,24-MAY-09 15:38:00,EST-5,24-MAY-09 15:38:00,0,0,0,0,4.00K,0.00K,Law Enforcement,52.00,EG,,,,,,,,,,0,N,SOUTHBURY,0,N,SOUTHBURY,41.48,-73.22,41.48,-73.22,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",A tree fell on a house at 138 Floodbridge Road.,CSV
200905,24,1538,200905,24,1538,30020,175805,CONNECTICUT,9,2009,May,Thunderstorm Wind,C,9,NEW HAVEN,OKX,24-MAY-09 15:38:00,EST-5,24-MAY-09 15:38:00,0,0,0,0,4.00K,0.00K,Law Enforcement,52.00,EG,,,,,,,,,,0,N,SOUTHBURY,0,N,SOUTHBURY,41.48,-73.22,41.48,-73.22,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",A tree fell on a house at 125 River Trail Road.,CSV
200905,12,1200,200905,12,1200,30017,175773,CONNECTICUT,9,2009,May,Hail,C,11,NEW LONDON,OKX,12-MAY-09 12:00:00,EST-5,12-MAY-09 12:00:00,0,0,0,0,,0.00K,Trained Spotter,0.88,,,,,,,,,,,1.7,WSW,NORWICH,1.7,WSW,NORWICH,41.51,-72.1,41.51,-72.1,"An upper level disturbance, in combination with a sea breeze boundary, allowed for the development of an isolated, slow moving severe thunderstorm over New London county.",Nickel size hail was reported by a trained spotter.,CSV
200905,24,1538,200905,24,1538,30020,175783,CONNECTICUT,9,2009,May,Hail,C,9,NEW HAVEN,OKX,24-MAY-09 15:38:00,EST-5,24-MAY-09 15:38:00,0,0,0,0,,,Law Enforcement,0.75,,,,,,,,,,,.69,S,WHITE OAKS,.69,S,WHITE OAKS,41.49,-73.22,41.49,-73.22,"A cold front triggered scattered afternoon and early evening severe thunderstorms across southern Connecticut. In addition to the afternoon storms, three people were struck by lightning while camping in early morning convection.",Penny size hail was reported by law enforcement.,CSV
